url,repo,file,java_file,func,hunk,test,note
1,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
2,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
3,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
4,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
5,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
6,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
7,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
8,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
9,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
10,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
11,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
12,,,2,2,6,,"['SandboxServiceImpl', None, None, None, None]",,,shenyu,https://github.com/apache/shenyu/commit/1fd33d5aa032e8e71e7e40b229d74e9f88745923
13,,,9(5),1,7,,"[None, None, None, None, None, None]",,,eclipse.jdt.core,https://github.com/eclipse-jdt/eclipse.jdt.core/commit/38dd2a878f45cdb3d8d52090f1d6d1b532fd4c4d
14,,,57(11),5,31,,"['load', None, None, None, None, None, 'parseInputStream', 'gotoMarker', None, None, None, None, None, None, None, 'transformDocument', None, None, None, None, None, None]",,,eclipse.platform.ui,https://github.com/eclipse-platform/eclipse.platform.ui/commit/f243cf0a28785b89b7c50bf4e1cce48a917d89bd
15,,,57(11),5,31,,"['load', None, None, None, None, None, 'parseInputStream', 'gotoMarker', None, None, None, None, None, None, None, 'transformDocument', None, None, None, None, None, None]",,,eclipse.platform.ui,https://github.com/eclipse-platform/eclipse.platform.ui/commit/f243cf0a28785b89b7c50bf4e1cce48a917d89bd
16,,,1,1,8,,[None],,,keycloak,https://github.com/keycloak/keycloak/commit/5c6c55945a384bfd82e51283096204dcb6f63d91
17,,,3(2),1,3,,"[None, None]",,,keycloak,https://github.com/keycloak/keycloak/commit/30d0e9d22dae51392e5a3748a1c68c116667359a
18,,,7,3,11,,"[None, None, None, None, None, 'DirExportProvider', 'DirImportProvider', None, None, None]",,,keycloak,https://github.com/keycloak/keycloak/commit/853a6d73276849877819f2dc23133557f6e1e601
19,,,2(1),4,14,,"[None, 'getFieldBuilder', 'setField', None, None, None, None, 'finish']",,,protobuf,https://github.com/protocolbuffers/protobuf/commit/a3888f53317a8018e7a439bac4abeb8f3425d5e9
20,,,2(1),4,14,,"[None, 'getFieldBuilder', 'setField', None, None, None, None, 'finish']",,,protobuf,https://github.com/protocolbuffers/protobuf/commit/24b65038cfe36191268fda355aca0e43d3ecbcbe
21,,,39(23),24,204,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'getField', None, None, 'newMutableInstance', 'hashCode', 'makeImmutable', 'toBuilder', 'clearMemoizedSerializedSize', None, None, None, 'copyOnWrite', 'clear', 'mergeFrom', 'copyOnWriteInternal', 'buildPartial', None, None, None, 'getUnknownFields', None, None, 'clear', 'setUnknownFieldsInternal', None, 'getUnknownFields', None, None, None, None, None, None, None, None, None, None, None, None, None, 'getFieldBuilder', 'setField', None, None, 'finish', None, None, None, 'mergeFrom', 'mergeMessage', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'mutableMessageFieldForMerge', None, 'makeImmutable', None, None, 'isMutable', 'newInstance', None, 'newInstance', None, None, None, None, None, None, None, None, None, 'storeField', 'ensureCapacity', None, 'merge', None]",,,protobuf,https://github.com/protocolbuffers/protobuf/commit/b0e8e607dc1ace17c823276d3384eeda775bbd76
22,,,39(23),24,202,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'getField', None, None, 'newMutableInstance', 'hashCode', 'makeImmutable', 'toBuilder', 'clearMemoizedSerializedSize', None, None, None, 'copyOnWrite', 'clear', 'mergeFrom', 'copyOnWriteInternal', 'buildPartial', None, None, None, 'getUnknownFields', None, None, 'clear', 'setUnknownFieldsInternal', None, 'getUnknownFields', None, None, None, None, None, None, None, None, None, None, None, None, None, 'getFieldBuilder', 'setField', None, None, 'finish', None, None, None, 'mergeFrom', 'mergeMessage', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'mutableMessageFieldForMerge', None, 'makeImmutable', None, None, 'isMutable', 'newInstance', None, 'newInstance', None, None, None, None, None, None, None, None, None, 'storeField', 'ensureCapacity', None, 'merge', None]",,,protobuf,https://github.com/protocolbuffers/protobuf/commit/42e47e5a3fa7219b136f6a5de7c74a89a79245c6
23,,,2(1),4,14,,"[None, 'getFieldBuilder', 'setField', None, None, None, None, 'finish']",,,protobuf,https://github.com/protocolbuffers/protobuf/commit/a3888f53317a8018e7a439bac4abeb8f3425d5e9
24,,,39(23),21,197,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'getField', None, None, 'newMutableInstance', 'hashCode', 'makeImmutable', 'toBuilder', 'clearMemoizedSerializedSize', None, None, None, 'copyOnWrite', 'clear', 'mergeFrom', 'copyOnWriteInternal', 'buildPartial', None, None, None, 'getUnknownFields', None, None, 'clear', 'setUnknownFieldsInternal', None, 'getUnknownFields', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'mergeFrom', 'mergeMessage', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'mutableMessageFieldForMerge', None, 'makeImmutable', None, None, 'isMutable', 'newInstance', None, 'newInstance', None, None, None, None, None, None, None, None, None, 'storeField', 'ensureCapacity', None, 'merge', None]",,,protobuf,https://github.com/protocolbuffers/protobuf/commit/ae6d69dba64334d77dfb633a146c479982620c1c
25,,,39(23),24,204,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'getField', None, None, 'newMutableInstance', 'hashCode', 'makeImmutable', 'toBuilder', 'clearMemoizedSerializedSize', None, None, None, 'copyOnWrite', 'clear', 'mergeFrom', 'copyOnWriteInternal', 'buildPartial', None, None, None, 'getUnknownFields', None, None, 'clear', 'setUnknownFieldsInternal', None, 'getUnknownFields', None, None, None, None, None, None, None, None, None, None, None, None, None, 'getFieldBuilder', 'setField', None, None, 'finish', None, None, None, 'mergeFrom', 'mergeMessage', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'mutableMessageFieldForMerge', None, 'makeImmutable', None, None, 'isMutable', 'newInstance', None, 'newInstance', None, None, None, None, None, None, None, None, None, 'storeField', 'ensureCapacity', None, 'merge', None]",,,protobuf,https://github.com/protocolbuffers/protobuf/commit/b0e8e607dc1ace17c823276d3384eeda775bbd76
26,,,39(23),24,202,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'getField', None, None, 'newMutableInstance', 'hashCode', 'makeImmutable', 'toBuilder', 'clearMemoizedSerializedSize', None, None, None, 'copyOnWrite', 'clear', 'mergeFrom', 'copyOnWriteInternal', 'buildPartial', None, None, None, 'getUnknownFields', None, None, 'clear', 'setUnknownFieldsInternal', None, 'getUnknownFields', None, None, None, None, None, None, None, None, None, None, None, None, None, 'getFieldBuilder', 'setField', None, None, 'finish', None, None, None, 'mergeFrom', 'mergeMessage', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'mutableMessageFieldForMerge', None, 'makeImmutable', None, None, 'isMutable', 'newInstance', None, 'newInstance', None, None, None, None, None, None, None, None, None, 'storeField', 'ensureCapacity', None, 'merge', None]",,,protobuf,https://github.com/protocolbuffers/protobuf/commit/42e47e5a3fa7219b136f6a5de7c74a89a79245c6
27,,,2,1,8,,"[None, None, None, None]",,,inlong,https://github.com/apache/inlong/commit/49cbf96ba228b99590cab733011462139b2fea69
28,,,12(11),11,80,,"[None, None, None, 'drawU', None, 'setGray', 'toUImage', None, 'learnThisAddress', None, 'forbiddenURL', 'isInUrlAllowList', None, 'canCover', None, None, None, 'finalizeEnddefinelong', 'retrieveNamedSlow', None, 'retrieveDistributor', None, None, None]",,,plantuml,https://github.com/plantuml/plantuml/commit/b32500bb61ae617bb312496d6d832e4be8190797
29,,,12(11),11,80,,"[None, None, None, 'drawU', None, 'setGray', 'toUImage', None, 'learnThisAddress', None, 'forbiddenURL', 'isInUrlAllowList', None, 'canCover', None, None, None, 'finalizeEnddefinelong', 'retrieveNamedSlow', None, 'retrieveDistributor', None, None, None]",,,plantuml,https://github.com/plantuml/plantuml/commit/b32500bb61ae617bb312496d6d832e4be8190797
30,,,13(12),7,30,,"[None, 'withCurrentDir', None, None, 'fromFile', 'isFileOk', 'isUrlOk', 'canWeReadThisEnvironmentVariable', None, None, None, None, None, None, 'retrieveNamedSlow', None, None]",,,plantuml,https://github.com/plantuml/plantuml/commit/fbe7fa3b25b4c887d83927cffb1009ec6cb8ab1e
31,,,13(12),7,30,,"[None, 'withCurrentDir', None, None, 'fromFile', 'isFileOk', 'isUrlOk', 'canWeReadThisEnvironmentVariable', None, None, None, None, None, None, 'retrieveNamedSlow', None, None]",,,plantuml,https://github.com/plantuml/plantuml/commit/fbe7fa3b25b4c887d83927cffb1009ec6cb8ab1e
32,,,2,2,9,,"[None, None, None, 'checkRegexLength']",,,spring-framework,https://github.com/spring-projects/spring-framework/commit/8010de8b63057af06984df5c7550ba99d006e909
33,,,2,2,11,,"[None, None, None, 'checkRegexLength', None]",,,spring-framework,https://github.com/spring-projects/spring-framework/commit/26e0343c1638d59a28a7991bfcaed32dbc4996e4
34,,,2,2,11,,"[None, None, None, 'checkRegexLength', None]",,,spring-framework,https://github.com/spring-projects/spring-framework/commit/b9b31afcc905cd9d5e63739ff5920d849f7f20f0
35,,,2,2,11,,"[None, None, None, 'checkRegexLength', None]",,,spring-framework,https://github.com/spring-projects/spring-framework/commit/b9b31afcc905cd9d5e63739ff5920d849f7f20f0
36,,,2,1,11,,"[None, None, None, None, None, None, None]",,,DSpace,https://github.com/DSpace/DSpace/commit/d1dd7d23329ef055069759df15cfa200c8e3
37,,,2,1,11,,"[None, None, None, None, None, None, None]",,,DSpace,https://github.com/DSpace/DSpace/commit/7569c6374aefeafb996e202cf8d631020eda5f24
38,,,3(1),1,1,,[None],,,jspwiki,https://github.com/apache/jspwiki/commit/b17f699a4a099639beebb905cf4e04a8bea63b3c
39,,,3(1),1,1,,[None],,,jspwiki,https://github.com/apache/jspwiki/commit/b17f699a4a099639beebb905cf4e04a8bea63b3c
40,,,1,1,1,,[None],,,graphhopper,https://github.com/graphhopper/graphhopper/commit/3bef7ead91d01adfd4fbea459bcc62de1f0279fc
41,,,1,1,1,,[None],,,graphhopper,https://github.com/graphhopper/graphhopper/commit/3bef7ead91d01adfd4fbea459bcc62de1f0279fc
42,,,3(1),1,4,,[None],,,jib,https://github.com/GoogleContainerTools/jib/commit/67fa40bc2c484da0546333914ea07a89fe44eaaf
43,,,14,9,46,,"[None, None, None, None, None, None, None, None, None, 'AMQCommand', 'AMQCommand', None, None, 'getTrafficListener', None, 'CommandAssembler', None, None, 'getCredentialsRefreshService', None, None, None, None, None, None, None, None, 'FrameBuilder', None, None, 'SocketChannelFrameHandlerFactory', None, 'SocketChannelFrameHandlerState', None, None, 'SslEngineFrameBuilder']",,,rabbitmq-java-client,https://github.com/rabbitmq/rabbitmq-java-client/commit/714aae602dcae6cb4b53cadf009323ebac313cc8
44,,,3(1),1,1,,['public void setSelectorEnum'],,,eclipse.platform.swt,https://github.com/eclipse-platform/eclipse.platform.swt/commit/bf71db5ddcb967c0863dad4745367b54f49e06ba
45,,,57(11),5,31,,"['load', None, None, None, None, None, 'parseInputStream', 'gotoMarker', None, None, None, None, None, None, None, 'transformDocument', None, None, None, None, None, None]",,,eclipse.platform.ui,https://github.com/eclipse-platform/eclipse.platform.ui/commit/f243cf0a28785b89b7c50bf4e1cce48a917d89bd
46,,,1,1,19,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",,,junrar,https://github.com/junrar/junrar/commit/ad8d0ba8e155630da8a1215cee3f253e0af45817
47,,,2(1),4,14,,"[None, 'getFieldBuilder', 'setField', None, None, None, None, 'finish']",,,protobuf,https://github.com/protocolbuffers/protobuf/commit/a3888f53317a8018e7a439bac4abeb8f3425d5e9
48,,,2(1),4,14,,"[None, 'getFieldBuilder', 'setField', None, None, None, None, 'finish']",,,protobuf,https://github.com/protocolbuffers/protobuf/commit/24b65038cfe36191268fda355aca0e43d3ecbcbe
49,,,39(23),24,204,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'getField', None, None, 'newMutableInstance', 'hashCode', 'makeImmutable', 'toBuilder', 'clearMemoizedSerializedSize', None, None, None, 'copyOnWrite', 'clear', 'mergeFrom', 'copyOnWriteInternal', 'buildPartial', None, None, None, 'getUnknownFields', None, None, 'clear', 'setUnknownFieldsInternal', None, 'getUnknownFields', None, None, None, None, None, None, None, None, None, None, None, None, None, 'getFieldBuilder', 'setField', None, None, 'finish', None, None, None, 'mergeFrom', 'mergeMessage', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'mutableMessageFieldForMerge', None, 'makeImmutable', None, None, 'isMutable', 'newInstance', None, 'newInstance', None, None, None, None, None, None, None, None, None, 'storeField', 'ensureCapacity', None, 'merge', None]",,,protobuf,https://github.com/protocolbuffers/protobuf/commit/b0e8e607dc1ace17c823276d3384eeda775bbd76
50,,,39(23),24,202,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'getField', None, None, 'newMutableInstance', 'hashCode', 'makeImmutable', 'toBuilder', 'clearMemoizedSerializedSize', None, None, None, 'copyOnWrite', 'clear', 'mergeFrom', 'copyOnWriteInternal', 'buildPartial', None, None, None, 'getUnknownFields', None, None, 'clear', 'setUnknownFieldsInternal', None, 'getUnknownFields', None, None, None, None, None, None, None, None, None, None, None, None, None, 'getFieldBuilder', 'setField', None, None, 'finish', None, None, None, 'mergeFrom', 'mergeMessage', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'mutableMessageFieldForMerge', None, 'makeImmutable', None, None, 'isMutable', 'newInstance', None, 'newInstance', None, None, None, None, None, None, None, None, None, 'storeField', 'ensureCapacity', None, 'merge', None]",,,protobuf,https://github.com/protocolbuffers/protobuf/commit/42e47e5a3fa7219b136f6a5de7c74a89a79245c6
51,,,2(1),4,14,,"[None, 'getFieldBuilder', 'setField', None, None, None, None, 'finish']",,,protobuf,https://github.com/protocolbuffers/protobuf/commit/a3888f53317a8018e7a439bac4abeb8f3425d5e9
52,,,2,3,28,,"[None, None, None, 'getCorsConfiguration', None, None, None, None, None, None, None, 'PathPatternMatchableHandlerMapping']",,,spring-framework,https://github.com/spring-projects/spring-framework/commit/202fa5cdb3a3d0cfe6967e85fa167d978244f28a
53,,,2,3,29,,"[None, None, None, None, 'getCorsConfiguration', None, None, None, None, None, None, None, 'PathPatternMatchableHandlerMapping']",,,spring-framework,https://github.com/spring-projects/spring-framework/commit/eafe3afe11c9fc440ce3088e7e45ecaeffb57a52
54,,,4,3,21,,"[None, None, None, None, 'webFilterChainPostProcessor', None, None, None, 'ignoreCloudFoundryPathsWebSecurityCustomizer', None, None, None]",,,spring-boot,https://github.com/spring-projects/spring-boot/commit/3522714c13b47af03bf42e7f2d5994af568cb1a7
55,,,4,3,21,,"[None, None, None, None, 'webFilterChainPostProcessor', None, None, None, 'ignoreCloudFoundryPathsWebSecurityCustomizer', None, None, None]",,,spring-boot,https://github.com/spring-projects/spring-boot/commit/3522714c13b47af03bf42e7f2d5994af568cb1a7
56,,,3(1),1,1,,[None],,,jspwiki,https://github.com/apache/jspwiki/commit/b17f699a4a099639beebb905cf4e04a8bea63b3c
57,,,3(1),1,1,,[None],,,jspwiki,https://github.com/apache/jspwiki/commit/b17f699a4a099639beebb905cf4e04a8bea63b3c
58,,,3,1,7,,"[None, None, None, None, None, None]",,,snappy-java,https://github.com/xerial/snappy-java/commit/9f8c3cf74223ed0a8a834134be9c917b9f10ceb5
59,,,57(11),5,31,,"['load', None, None, None, None, None, 'parseInputStream', 'gotoMarker', None, None, None, None, None, None, None, 'transformDocument', None, None, None, None, None, None]",,,eclipse.platform.ui,https://github.com/eclipse-platform/eclipse.platform.ui/commit/f243cf0a28785b89b7c50bf4e1cce48a917d89bd
60,,,57(11),5,31,,"['load', None, None, None, None, None, 'parseInputStream', 'gotoMarker', None, None, None, None, None, None, None, 'transformDocument', None, None, None, None, None, None]",,,eclipse.platform.ui,https://github.com/eclipse-platform/eclipse.platform.ui/commit/f243cf0a28785b89b7c50bf4e1cce48a917d89bd
61,,,2(1),1,8,,"[None, None, None, None, None, None]",,,dd-plist,https://github.com/3breadt/dd-plist/commit/2120e77a988d28fba214714710a43521b4ac62b8
62,,,1,1,4,,"[None, None, None]",,,zt-zip,https://github.com/zeroturnaround/zt-zip/commit/759b72f33bc8f4d69f84f09fcb7f010ad45d6fff
63,,,1,1,2,,"[None, None]",,,json-sanitizer,https://github.com/OWASP/json-sanitizer/commit/f2c9858c02cf521dd05f2c6f8f9450f2e1343090
64,,,1,1,1,,[None],,,junrar,https://github.com/junrar/junrar/commit/7b16b3d90b91445fd6af0adfed22c07413d4fab7
65,,,1,1,1,,[None],,,slf4j,https://github.com/qos-ch/slf4j/commit/d2b27fba88e983f921558da27fc29b5f5d269405
66,,,19(3),1,3,,"[None, None, None]",,,slf4j,https://github.com/qos-ch/slf4j/commit/918a055bdf87867f69693cf82727fa435c489e25
67,,,1,1,3,,[None],,,opencrx,https://github.com/opencrx/opencrx/commit/ce7a71db0bb34ecbcb0e822d40598e410a48b399
68,,,2,2,6,,"['SandboxServiceImpl', None, None, None, None]",,,shenyu,https://github.com/apache/shenyu/commit/1fd33d5aa032e8e71e7e40b229d74e9f88745923
69,,,9(5),1,7,,"[None, None, None, None, None, None]",,,eclipse.jdt.core,https://github.com/eclipse-jdt/eclipse.jdt.core/commit/38dd2a878f45cdb3d8d52090f1d6d1b532fd4c4d
70,,,57(11),5,31,,"['load', None, None, None, None, None, 'parseInputStream', 'gotoMarker', None, None, None, None, None, None, None, 'transformDocument', None, None, None, None, None, None]",,,eclipse.platform.ui,https://github.com/eclipse-platform/eclipse.platform.ui/commit/f243cf0a28785b89b7c50bf4e1cce48a917d89bd
71,,,57(11),5,31,,"['load', None, None, None, None, None, 'parseInputStream', 'gotoMarker', None, None, None, None, None, None, None, 'transformDocument', None, None, None, None, None, None]",,,eclipse.platform.ui,https://github.com/eclipse-platform/eclipse.platform.ui/commit/f243cf0a28785b89b7c50bf4e1cce48a917d89bd
72,,,3(1),1,1,,[None],,,webauthn4j-spring-security,https://github.com/webauthn4j/webauthn4j-spring-security/commit/129700d74d83f9b9a82bf88ebc63707e3cb0a725#diff-8b498aa0a0a11f93f0e681d9fc2c2a7840186d290e62004ae5e3a2eb0bc5a98dL23
